NiclaSenseMeType_bsec_accuracy,6083,Variable
NiclaSensorBSECType_accuracy_EURange,6084,Variable
NiclaSenseMeType_bsec_comp_t,6085,Variable
NiclaSensorBSECType_comp_t_EURange,6086,Variable
NiclaSenseMeType_bsec_comp_h,6087,Variable
NiclaSensorBSECType_comp_h_EURange,6088,Variable
NiclaSenseMeType_bsec_comp_g,6089,Variable
NiclaSensorBSECType_comp_g_EURange,6090,Variable
NiclaSenseMeType_bsec_accuracy_EngineeringUnits,6091,Variable
NiclaSenseMeType_bsec_b_voc_eq_EngineeringUnits,6092,Variable
NiclaSenseMeType_bsec_co2_eq_EngineeringUnits,6093,Variable
NiclaSenseMeType_bsec_comp_g_EngineeringUnits,6094,Variable
NiclaSenseMeType_bsec_comp_h_EngineeringUnits,6095,Variable
NiclaSenseMeType_bsec_comp_t_EngineeringUnits,6096,Variable
NiclaSenseMeType_bsec_iaq_EngineeringUnits,6097,Variable
NiclaSenseMeType_bsec_iaq_s_EngineeringUnits,6098,Variable
NiclaSenseMeType_quaternion_w_EURange,6099,Variable
NiclaValueType_EngineeringUnits,6100,Variable
NiclaValueType_EURange,6101,Variable
NiclaSenseMeType_bsec_accuracy_EURange,6102,Variable
NiclaSenseMeType_bsec_b_voc_eq_EURange,6103,Variable
NiclaSenseMeType_bsec_co2_eq_EURange,6104,Variable
NiclaSenseMeType_bsec_comp_g_EURange,6105,Variable
NiclaSenseMeType_bsec_comp_h_EURange,6106,Variable
NiclaSenseMeType_bsec_comp_t_EURange,6107,Variable
NiclaSenseMeType_bsec_iaq_EURange,6108,Variable
NiclaSenseMeType_bsec_iaq_s_EURange,6109,Variable
NiclaSenseMeType_quaternion_x_EURange,6110,Variable
NiclaSenseMeType_quaternion_y_EURange,6111,Variable
NiclaSenseMeType_quaternion_z_EURange,6112,Variable
NiclaSenseMeType_pressure_value_EngineeringUnits,6113,Variable
NiclaSenseMeType_pressure_value_EURange,6114,Variable
NiclaSenseMeType_gas_value_EngineeringUnits,6115,Variable
NiclaSenseMeType_gas_value_EURange,6116,Variable
NiclaSenseMeType_accelerometer_x_EURange,6117,Variable
NiclaSenseMeType_magnetometer_x_EngineeringUnits,6118,Variable
NiclaSenseMeType_magnetometer_x_EURange,6119,Variable
NiclaSenseMeType_accelerometer_y_EURange,6120,Variable
NiclaSenseMeType_magnetometer_y_EngineeringUnits,6121,Variable
NiclaSenseMeType_magnetometer_y_EURange,6122,Variable
NiclaSenseMeType_accelerometer_z_EURange,6123,Variable
NiclaSenseMeType_magnetometer_z_EngineeringUnits,6124,Variable
NiclaSenseMeType_magnetometer_z_EURange,6125,Variable
Server_Namespaces_http___Novia_AutomationTechnology_nicla_sense__IsNamespaceSubset,6126,Variable
Server_Namespaces_http___Novia_AutomationTechnology_nicla_sense__NamespacePublicationDate,6127,Variable
Server_Namespaces_http___Novia_AutomationTechnology_nicla_sense__NamespaceUri,6128,Variable
Server_Namespaces_http___Novia_AutomationTechnology_nicla_sense__NamespaceVersion,6129,Variable
Server_Namespaces_http___Novia_AutomationTechnology_nicla_sense__StaticNodeIdTypes,6130,Variable
